name,is_company,company_name,country_id,state_id,zip,city,street,street2,phone,mobile,email,vat,bank_ids/bank,bank_ids/acc_number
Chu Phương Anh,False,,Việt Nam,,56104,Đồng Nai,Số 186 Đường Chu,,0896103509,,chu.phuong.anh@gmail.com,CC7016897691,ACB,5527974831
Ngô Thành Khánh,False,,Việt Nam,,46391,Đà Lạt,Số 387 Đường Ngô,,0800758318,,ngo.thanh.khanh@gmail.com,CC7603742222,Nam A bank,5259769161
Phạm Thùy Hương,False,,Việt Nam,,80105,Lai Châu,Số 748 Đường Phạm,,0458495601,,pham.thuy.huong@gmail.com,CC7742718344,Vietcombank,2416275514
Chu Tú Cường,False,,Việt Nam,,38046,Hồ Chí Minh,Số 780 Đường Chu,,0591369573,,chu.tu.cuong@gmail.com,CC1134580352,TP Bank,9620552033
Trần Yến Giang,False,,Việt Nam,,56141,Đà Lạt,Số 529 Đường Trần,,0689656753,,tran.yen.giang@gmail.com,CC7290726229,Sacombank,5388806128
Chu Quang Nhi,False,,Việt Nam,,77668,Điện Biên,Số 321 Đường Chu,,0160389226,,chu.quang.nhi@gmail.com,CC4703738583,OCB,5933454238
Hồ Văn Quốc,False,,Việt Nam,,69233,Đà Nẵng,Số 779 Đường Hồ,,0220180380,,ho.van.quoc@gmail.com,CC2235242368,Exim Bank,3068270881
Lê Thị Bình,False,,Việt Nam,,29549,Bình Thuận,Số 175 Đường Lê,,0748821540,,le.thi.binh@gmail.com,CC1715492903,Techcombank,9680358347
Phạm Thùy Anh,False,,Việt Nam,,72122,Đà Lạt,Số 361 Đường Phạm,,0530656624,,pham.thuy.anh@gmail.com,CC4263753580,TP Bank,9736524556
Dương Hồng Thuận,False,,Việt Nam,,73109,Hồ Chí Minh,Số 204 Đường Dương,,0331579340,,duong.hong.thuan@gmail.com,CC8011838837,Vietcombank,2667639171
Hoàng Quang Bình,False,,Việt Nam,,87816,Thừa Thiên - Huế,Số 514 Đường Hoàng,,0366421862,,hoang.quang.binh@gmail.com,CC1343090433,Nam A bank,6264816559
Trần Thành Anh,False,,Việt Nam,,77539,Hà Nội,Số 483 Đường Trần,,0522847954,,tran.thanh.anh@gmail.com,CC6036346241,Vietcombank,1456079975
Hoàng Linh Tùng,False,,Việt Nam,,57736,Ninh Bình,Số 175 Đường Hoàng,,0153038748,,hoang.linh.tung@gmail.com,CC1239517497,TP Bank,1525618792
Mai Văn Chi,False,,Việt Nam,,21749,Cà Mau,Số 783 Đường Mai,,0190774997,,mai.van.chi@gmail.com,CC6885687649,VietinBank,3496854622
Phan Linh Nhi,False,,Việt Nam,,59946,Quảng Bình,Số 988 Đường Phan,,0230679585,,phan.linh.nhi@gmail.com,CC1362693159,Techcombank,9776753999
Hoàng Minh Hiếu,False,,Việt Nam,,62735,Cà Mau,Số 294 Đường Hoàng,,0295597578,,hoang.minh.hieu@gmail.com,CC7047652765,MB Bank,8475157412
Tạ Đức Trang,False,,Việt Nam,,34573,Hồ Chí Minh,Số 156 Đường Tạ,,0461388473,,ta.đuc.trang@gmail.com,CC9573439604,Exim Bank,1656736315
Hoàng Bích Sơn,False,,Việt Nam,,69589,Hải Phòng,Số 978 Đường Hoàng,,0891445872,,hoang.bich.son@gmail.com,CC9089606947,MSB,9168919489
Dương Linh Anh,False,,Việt Nam,,77750,Hải Phòng,Số 611 Đường Dương,,0485877693,,duong.linh.anh@gmail.com,CC6950038931,ACB,5500550082
Hoàng Quốc Khánh,False,,Việt Nam,,41621,Đồng Nai,Số 238 Đường Hoàng,,0444465070,,hoang.quoc.khanh@gmail.com,CC5124803087,TP Bank,8314609408
Lê Linh Thủy,False,,Việt Nam,,49087,Lâm Đồng,Số 546 Đường Lê,,0177913811,,le.linh.thuy@gmail.com,CC9052667128,ACB,6006848859
Đặng Thanh Giang,False,,Việt Nam,,97682,Hồ Chí Minh,Số 270 Đường Đặng,,0971980693,,đang.thanh.giang@gmail.com,CC8393597081,MSB,2026315654
Hoàng Dương Tùng,False,,Việt Nam,,73391,Quảng Ninh,Số 751 Đường Hoàng,,0882106209,,hoang.duong.tung@gmail.com,CC8054149434,TP Bank,7229446141
Lê Kim Cường,False,,Việt Nam,,34643,Quảng Bình,Số 750 Đường Lê,,0701832978,,le.kim.cuong@gmail.com,CC7022360360,BIDV,9822948079
Trần Kim Cường,False,,Việt Nam,,28621,Lai Châu,Số 438 Đường Trần,,0672714500,,tran.kim.cuong@gmail.com,CC1311534982,MSB,8634148510
Trần Văn Dũng,False,,Việt Nam,,70350,Hà Giang,Số 438 Đường Trần,,0152318956,,tran.van.dung@gmail.com,CC3614911492,Vietcombank,4313829938
Trần Đức Anh,False,,Việt Nam,,93437,Hà Nội,Số 649 Đường Trần,,0105717488,,tran.đuc.anh@gmail.com,CC9335377446,ACB,1036065228
Phan Yến Hiếu,False,,Việt Nam,,85985,Cà Mau,Số 457 Đường Phan,,0371981895,,phan.yen.hieu@gmail.com,CC6539104948,OCB,8641242521
Hoàng Minh Quốc,False,,Việt Nam,,46795,Bình Thuận,Số 118 Đường Hoàng,,0505087090,,hoang.minh.quoc@gmail.com,CC5820632122,ACB,6332054940
